Number,Tree,TreeNo,TreeSpecies,PlotNo,Sesh,Occ,SeshOcc,Occ2,Date,Date2,SeshMonth,SeshMonth2,SpeciesCode,Status,Mark,Sex,AgeSex,AgeSex2,SVL,Mass,Location,Cell,Color,Notes,Perch,TL,Date2,Capture_Int1
128,DP6,10,Dipteryx panamensis,6,A,3,A3,3,31-Jan-14,41670,Feb,2,OOPPUM,,,M,M,M,,,17NE,C17,,calling male,leaf litter,,41670,
129,DP6,10,Dipteryx panamensis,6,A,3,A3,3,31-Jan-14,41670,Feb,2,CRABRA,,,,,,,,8SE,C8,,escape,leaf litter,,41670,
130,DP6,10,Dipteryx panamensis,6,A,3,A3,3,31-Jan-14,41670,Feb,2,CRAMEG,recap,LF4,,,,11,,4SW,C4,,black,NA,NA,41670,
131,DP6,10,Dipteryx panamensis,6,A,3,A3,3,31-Jan-14,41670,Feb,2,CRABRA,,,,,,,,4SW,C4,,escape,NA,,41670,
132,DP6,10,Dipteryx panamensis,6,A,3,A3,3,31-Jan-14,41670,Feb,2,CRABRA,,,,,,,,4SW,C4,,escape,NA,,41670,
133,DP6,10,Dipteryx panamensis,6,A,3,A3,3,31-Jan-14,41670,Feb,2,CRAMEG,,,,,,,,1NW,C1,,escape,leaf litter,,41670,
134,DP6,10,Dipteryx panamensis,6,A,3,A3,3,31-Jan-14,41670,Feb,2,CRAMEG,recap,"LF4,RF2",,,,,,10SE,C10,,tan,NA,NA,41670,
135,CE4,4,Castilla elastica,4,A,1,A1,1,2-Feb-14,41672,Feb,2,CRABRA,,,J,J,J,6.5,,2NE,C2,,,Leaf litter,,41672,
136,CE4,4,Castilla elastica,4,A,1,A1,1,2-Feb-14,41672,Feb,2,CRABRA,new,LF2,M,M,J,12.5,0.35,3SW,C3,,,Leaf litter,,41672,0
137,CE4,4,Castilla elastica,4,A,1,A1,1,2-Feb-14,41672,Feb,2,ctenid,,,,,,,,3SE,C3,,,Leaf litter,,41672,
138,CE4,4,Castilla elastica,4,A,1,A1,1,2-Feb-14,41672,Feb,2,CRABRA,,,J,J,J,10,,1SW,C1,,,Leaf litter,,41672,
139,CE4,4,Castilla elastica,4,A,1,A1,1,2-Feb-14,41672,Feb,2,NORHUM,,,M,M,,,,4SW,C4,,escape,Leaf litter,,41672,
140,CE4,4,Castilla elastica,4,A,1,A1,1,2-Feb-14,41672,Feb,2,CRABRA,,,J,J,J,9,,5SW,C5,,,soil,,41672,
141,CE4,4,Castilla elastica,4,A,1,A1,1,2-Feb-14,41672,Feb,2,CRABRA,new,LF3,M,M,JM,15,0.25,6SE,C6,,"clay back, banded face + legs",Leaf litter,,41672,0
142,CE4,4,Castilla elastica,4,A,1,A1,1,2-Feb-14,41672,Feb,2,ctenid,,,,,,,,6NE,C6,,,Leaf litter,,41672,
143,CE4,4,Castilla elastica,4,A,1,A1,1,2-Feb-14,41672,Feb,2,CRAMEG,new,LF2,M,M,,25,1.9,7SW,C7,,lite with dark dorsum,Leaf litter,,41672,
144,CE4,4,Castilla elastica,4,A,1,A1,1,2-Feb-14,41672,Feb,2,ctenid,,,,,,,,8SW,C8,,,Leaf litter,,41672,
145,CE4,4,Castilla elastica,4,A,1,A1,1,2-Feb-14,41672,Feb,2,ctenid,,,,,,,,10NE,C10,,,Leaf litter,,41672,
